,percMalicious,operatingError,reportingError
72,percMalicious,0.1616203273942697,0.157703165463378
288,percMalicious,0.1164085388096448,0.161572308952095
504,percMalicious,0.1671949614157574,0.1572637400640162
720,percMalicious,0.1199809189753455,0.1625041127925902
936,percMalicious,0.1664918288172646,0.1631799935053026
1152,percMalicious,0.117497440180553,0.1692465335033285
1368,percMalicious,0.1774979590104656,0.1691989422288684
1584,percMalicious,0.1176383758030776,0.1684474907126531
1800,percMalicious,0.1506662846475089,0.1605257981320588
2016,percMalicious,0.1133377664398742,0.1458744497173142
2232,percMalicious,0.1654329769948289,0.1577774266203101
2448,percMalicious,0.1159371531613342,0.1560311557602495
2664,percMalicious,0.1623855059441304,0.162869837290649
2880,percMalicious,0.1157315191349914,0.1692583596607119
3096,percMalicious,0.1730721069704479,0.1618790450400697
3312,percMalicious,0.1150045060387145,0.1652598723278415
3528,percMalicious,0.1693411540416591,0.1583194969082373
3744,percMalicious,0.1158282259665439,0.1563669601040754
3960,percMalicious,0.168065504737804,0.1637681308609223
4176,percMalicious,0.1172197875427931,0.1643951707565181
4392,percMalicious,0.166011959628521,0.1567528407836558
4608,percMalicious,0.1175789937965156,0.1521008935422164
4824,percMalicious,0.1676998803499302,0.1676170416189815
5040,percMalicious,0.1213047367216903,0.162301946242498
5256,percMalicious,0.1781298777496328,0.1654582693327166
5472,percMalicious,0.1182086588864283,0.159753913387688
5688,percMalicious,0.1638828055914634,0.1473162649980238
5904,percMalicious,0.1189753369917169,0.1513114022749231
6120,percMalicious,0.173429687635588,0.1629155135504541
6336,percMalicious,0.1175730028767926,0.158869210405539
6552,percMalicious,0.1717875260707529,0.1580714472309962
6768,percMalicious,0.1192166720550866,0.1724584867953025
6984,percMalicious,0.1806804538947031,0.1666471150148996
7200,percMalicious,0.1201034983730708,0.1580780690762855
7416,percMalicious,0.1696605706965499,0.1504276663182839
7632,percMalicious,0.1162424105076073,0.1601324365068094
7848,percMalicious,0.1631660661367188,0.1568817360828198
8064,percMalicious,0.1160109970231016,0.1584500452356234
8280,percMalicious,0.1612479769520401,0.1534596822953686
8496,percMalicious,0.1183817001595519,0.1608840960959495
8712,percMalicious,0.1639481511290124,0.1692037003958695
8928,percMalicious,0.1199737091024938,0.1595760913096706
9144,percMalicious,0.1619082693734732,0.158441936222984
9360,percMalicious,0.1184056629355345,0.1567114759961791
9576,percMalicious,0.1725517332089651,0.168755100376546
9792,percMalicious,0.1198573578235338,0.1664129711335163
10008,percMalicious,0.1652010404784006,0.1479717207073399
10224,percMalicious,0.121651113812314,0.1581718383274199
10440,percMalicious,0.1711457884067799,0.1536928110447021
10656,percMalicious,0.1183879142549485,0.1649832435283782
10872,percMalicious,0.1707477416958249,0.1680548281048244
11088,percMalicious,0.1171340195933921,0.1655821177183177
11304,percMalicious,0.1684563248618908,0.1725881782901681
11520,percMalicious,0.1147973333600992,0.1461750468890714
11736,percMalicious,0.1680733191007125,0.1566492992889774
11952,percMalicious,0.1153251120249398,0.1663904395969177
12168,percMalicious,0.1664676159036633,0.1620193773334324
12384,percMalicious,0.1173203067386959,0.1582477532570396
12600,percMalicious,0.1667750693086923,0.154406440001713
12816,percMalicious,0.1180566175436192,0.178527639798998
13032,percMalicious,0.1744472492421291,0.1562573852597449
13248,percMalicious,0.1163074645060512,0.1564631868100187
13464,percMalicious,0.1625298477453436,0.1684464998131045
13680,percMalicious,0.1161320792739741,0.1611964541773964
13896,percMalicious,0.1744538302308111,0.156318140740287
14112,percMalicious,0.1201079898649845,0.1671322908255975
14328,percMalicious,0.1658551058269971,0.1658313473627669
14544,percMalicious,0.1168237031864002,0.1620480850801908
14760,percMalicious,0.1673675832287967,0.1688962236650719
14976,percMalicious,0.1207514543625104,0.1644231271266682
15192,percMalicious,0.164035099717113,0.1480988673052179
15408,percMalicious,0.1181537789322142,0.1641804280542444
15624,percMalicious,0.1723051370317096,0.1559619704941284
15840,percMalicious,0.1164833684827764,0.1566283621063789
16056,percMalicious,0.1648318629639437,0.1654960689293549
16272,percMalicious,0.1162903698471819,0.1461156808024731
16488,percMalicious,0.175956306831916,0.1694157870607713
16704,percMalicious,0.1187379929290172,0.1550178250420162
16920,percMalicious,0.1722660507451133,0.1494611201971654
17136,percMalicious,0.1218722404823385,0.1732118343222183
17352,percMalicious,0.1739346565491561,0.1694994844953599
17568,percMalicious,0.1174896075361288,0.1650832032967931
17784,percMalicious,0.1744882233775833,0.1555553205102755
18000,percMalicious,0.1172146198470261,0.1563390365022014
18216,percMalicious,0.1716656421410848,0.1662439851890905
18432,percMalicious,0.1194530337324372,0.1610684736609478
18648,percMalicious,0.1637614264731972,0.1650015699674066
18864,percMalicious,0.1165830650234605,0.1616332150996698
19080,percMalicious,0.1707008175992533,0.1524056110217802
19296,percMalicious,0.1148119621453509,0.169516483698472
19512,percMalicious,0.1729831090027155,0.1585623184275372
19728,percMalicious,0.115695208109356,0.1609556967725836
19944,percMalicious,0.1789876814626724,0.1652100490124008
20160,percMalicious,0.1190800521403428,0.1613507140718842
20376,percMalicious,0.1590667714081992,0.1473273127197234
20592,percMalicious,0.1161907904634618,0.1537874181483998
20808,percMalicious,0.1745791384506972,0.1754881518848152
21024,percMalicious,0.1189874462074812,0.1579827060394237
21240,percMalicious,0.1673112633910163,0.1546253456037353
21456,percMalicious,0.1198547733044533,0.1696492221306519
21672,percMalicious,0.1805530551756504,0.1705363027498692
21888,percMalicious,0.1196943718114817,0.1689708937327889
22104,percMalicious,0.1638448243744412,0.1585860811586776
22320,percMalicious,0.1173193583063243,0.1690762684018208
22536,percMalicious,0.1650811353802405,0.1577162542907077
22752,percMalicious,0.1163816805221769,0.1518874181788124
22968,percMalicious,0.1621561409168496,0.1632043235835402
23184,percMalicious,0.1170285497193803,0.1558438242863243
23400,percMalicious,0.1684928375766095,0.1656868968320233
23616,percMalicious,0.1165851103166827,0.1553877760626329
23832,percMalicious,0.1664041130405602,0.153263035946705
24048,percMalicious,0.117439099192606,0.1649109128978467
