,byWitnessRep,operatingError,reportingError
72,False,0.1825009660108899,0.1578138974233959
81,True,0.1315849700827091,0.0912598407791118
288,False,0.178484763650866,0.1720845591866049
297,True,0.1316851982659928,0.0957086463642891
504,False,0.178677531030894,0.1519262048482489
513,True,0.1254444226541865,0.1035565916914825
720,False,0.1771968672677341,0.1464791508269823
729,True,0.1177488634480186,0.0853434464072697
936,False,0.1727623633893456,0.1569859990453692
945,True,0.1455860407233503,0.1013486429900848
1152,False,0.1806202288510102,0.1547263204916492
1161,True,0.1288470376769702,0.0976149576106642
1368,False,0.1795940766393678,0.163394485482716
1377,True,0.122355504389524,0.0920632387134303
1584,False,0.1794114546486462,0.1561355988854015
1593,True,0.1243018765965069,0.1081882377349741
1800,False,0.1637080889380585,0.1635935051514865
1809,True,0.1281163549718111,0.1132207072792494
2016,False,0.1813146170507531,0.1670905423174043
2025,True,0.1327808674515838,0.1002026546690966
2232,False,0.1778825013546298,0.1663237808548232
2241,True,0.1298293989631355,0.1089822737981198
2448,False,0.1800289464758976,0.1613118151734415
2457,True,0.1244574323090035,0.0982420673217654
2664,False,0.1770627422271803,0.1624829870914456
2673,True,0.13437000302224,0.1122594074564935
2880,False,0.168731501621773,0.1509445098265427
2889,True,0.119128462511998,0.1151715014704803
3096,False,0.1746346107093076,0.1638633355510476
3105,True,0.1238994182506427,0.0918605472239444
3312,False,0.1788517486318576,0.1580856790413146
3321,True,0.1331160025430663,0.0916810832695215
3528,False,0.1760658215555251,0.1596270636212924
3537,True,0.1296800367144588,0.100329034676567
3744,False,0.1809205033341571,0.1522736269519397
3753,True,0.1374618466516151,0.100217790452835
3960,False,0.1783759389142169,0.1548312423796651
3969,True,0.1252489286895485,0.1000880949250972
4176,False,0.1742492101326762,0.1708204690409827
4185,True,0.1292638113389518,0.0976652098862646
4392,False,0.1855739139613917,0.1621256632060315
4401,True,0.1191314348135353,0.0914194652020698
4608,False,0.1676169530436245,0.1567758621243251
