,byNumWitnesses,operatingError,reportingError
72,False,0.1825009660108899,0.1578138974233959
90,True,0.1738883682642701,0.1522766184769336
288,False,0.178484763650866,0.1720845591866049
306,True,0.1769585155628078,0.1688698681761668
504,False,0.178677531030894,0.1519262048482489
522,True,0.1704564719858162,0.1525848299206647
720,False,0.1771968672677341,0.1464791508269823
738,True,0.1805546625591546,0.161831429671536
936,False,0.1727623633893456,0.1569859990453692
954,True,0.1785392782692688,0.1641783145999079
1152,False,0.1806202288510102,0.1547263204916492
1170,True,0.1741324879904714,0.1712701088156197
1368,False,0.1795940766393678,0.163394485482716
1386,True,0.177862091833782,0.1586270516352383
1584,False,0.1794114546486462,0.1561355988854015
1602,True,0.1893296198458843,0.1545206504799627
1800,False,0.1637080889380585,0.1635935051514865
1818,True,0.1689903350100622,0.1603507076846067
2016,False,0.1813146170507531,0.1670905423174043
2034,True,0.1685156213833083,0.1657771300182595
2232,False,0.1778825013546298,0.1663237808548232
2250,True,0.1809920081973142,0.1564379103357976
2448,False,0.1800289464758976,0.1613118151734415
2466,True,0.1826155105952367,0.1572282963888035
2664,False,0.1770627422271803,0.1624829870914456
2682,True,0.1868091513000494,0.1675966341680946
2880,False,0.168731501621773,0.1509445098265427
2898,True,0.1713681186853412,0.1670276871271943
3096,False,0.1746346107093076,0.1638633355510476
3114,True,0.1769375393594772,0.1531814822283395
3312,False,0.1788517486318576,0.1580856790413146
3330,True,0.1734565134564805,0.1573177291283861
3528,False,0.1760658215555251,0.1596270636212924
3546,True,0.1771256363675655,0.1710784705777995
3744,False,0.1809205033341571,0.1522736269519397
3762,True,0.174954251169367,0.1700797806101885
3960,False,0.1783759389142169,0.1548312423796651
3978,True,0.1784028297928378,0.159854196423686
4176,False,0.1742492101326762,0.1708204690409827
4194,True,0.1770738634241824,0.1551834795885419
4392,False,0.1855739139613917,0.1621256632060315
4410,True,0.1856914209459825,0.1665145388230763
4608,False,0.1676169530436245,0.1567758621243251
4626,True,0.1721867976745078,0.1640908712800739
4824,False,0.1682459335803142,0.1665966252003507
4842,True,0.1689523512972264,0.1545787137725634
5040,False,0.1730315412904388,0.1674470595277933
5058,True,0.1811083173974627,0.1572250464002025
5256,False,0.1794391705943894,0.1700426393047793
5274,True,0.1794511760475561,0.1715449152523711
5472,False,0.1699653568739633,0.1729738614177332
5490,True,0.1684749617421913,0.1545569506793445
5688,False,0.1784437769836949,0.1506372047630867
5706,True,0.189924903021911,0.1624869640204166
5904,False,0.1629659267707617,0.1564952733785954
5922,True,0.1694584951826402,0.1557605572420131
6120,False,0.1741133586796233,0.1631356144776999
6138,True,0.1769258885934652,0.1609013417004366
6336,False,0.1723880447450704,0.1626647371262428
6354,True,0.1739513779676901,0.1562469654547626
6552,False,0.1765979772243463,0.1699704023933619
6570,True,0.1762906721604533,0.1516002799386205
6768,False,0.1786399787605864,0.1624962005029674
6786,True,0.1864101067637252,0.1595766122579026
6984,False,0.1776593976582297,0.1626559009555895
7002,True,0.1783465350448095,0.1647792569480385
7200,False,0.1778319186642289,0.1604521955115547
7218,True,0.168336333669472,0.1446924205868467
7416,False,0.1772858084949679,0.1642866523277877
7434,True,0.173774104565687,0.1707520572393185
7632,False,0.1763320129928705,0.1601706518538082
7650,True,0.1671287094166371,0.1550957817256067
7848,False,0.1740633590302635,0.1570540109231659
7866,True,0.1739896527981607,0.1533078442955196
8064,False,0.1773791591427169,0.1605942865652856
8082,True,0.1755624512927857,0.1707983637563666
8280,False,0.1699369516057151,0.161660655969079
8298,True,0.1702554456559485,0.1538800520707905
8496,False,0.1796835315832788,0.162556162010519
8514,True,0.1753672150728001,0.1591602948978654
8712,False,0.1757647875957703,0.1750170127124282
8730,True,0.1781735881901794,0.1548941881046766
8928,False,0.1809803352210582,0.1560177059918989
8946,True,0.1853973519925505,0.1659588855122998
9144,False,0.1804926711144191,0.1568868110352509
9162,True,0.176374285799593,0.1566776846326066
9360,False,0.171312117549618,0.1534048458886248
9378,True,0.1608019163625324,0.1653284055264376
9576,False,0.1732880678157642,0.1728959062989959
9594,True,0.1732446063022026,0.1575467976472352
9792,False,0.1711216263006494,0.1574838711289878
9810,True,0.1791515256033232,0.1649365939022613
10008,False,0.1734133278538258,0.1754392446551362
10026,True,0.1763435286212197,0.1755671235996244
10224,False,0.1612275065684877,0.1511636690680609
10242,True,0.1741589794719151,0.1594917974200076
10440,False,0.1736692284196925,0.160458108799639
10458,True,0.1690801077495491,0.1689267992445767
10656,False,0.1703451919859783,0.1673550343724814
10674,True,0.1805570021326063,0.1690356798330318
10872,False,0.1847959256342345,0.1677292872836566
10890,True,0.1764410962296806,0.1666631887007666
11088,False,0.1747360505581175,0.1677812319317457
11106,True,0.179335080864796,0.1720762073055316
11304,False,0.1794220146815625,0.1577625486109335
11322,True,0.1690183547644886,0.1528741846601394
11520,False,0.1823197797005732,0.1649296583193202
11538,True,0.1838717667820221,0.1600965609177229
11736,False,0.1728632670506828,0.1563143175031221
11754,True,0.1763833360852629,0.164946186991275
11952,False,0.1799796210944573,0.1722417157642122
11970,True,0.1789413974855594,0.1651452583118374
12168,False,0.1690450053012934,0.1577046483900109
12186,True,0.1829363380925989,0.1588694116915433
12384,False,0.1646263649156304,0.1669065140771593
12402,True,0.1715359070579491,0.1555283387106227
12600,False,0.1724310811550091,0.1539290313692012
12618,True,0.1762691797413761,0.1659374345031506
12816,False,0.1828774109787636,0.173363163358796
12834,True,0.1747824757996035,0.1680820724355005
13032,False,0.1729217455799696,0.1536220680993257
13050,True,0.1846142485950613,0.1551608443247598
13248,False,0.1812340455801621,0.1624231930181385
13266,True,0.1765867357029698,0.1517674191309165
13464,False,0.1786997603329331,0.1553451661531391
13482,True,0.1779319000260929,0.1614669554081292
13680,False,0.1793036464950994,0.1586632990187478
13698,True,0.1766698299516661,0.1582802655492197
13896,False,0.1794148115651602,0.1690914350674344
13914,True,0.1747119792572009,0.1590538198253986
14112,False,0.1750111314147925,0.1514486080696453
14130,True,0.1821092544042774,0.171136119498157
14328,False,0.1823263348234607,0.1569621845010329
14346,True,0.1769015337658583,0.1524064046409488
14544,False,0.1718960918912832,0.1632591537449034
14562,True,0.1778773840056162,0.1615355457731412
14760,False,0.1783536540052807,0.156720416949081
14778,True,0.1777455259433584,0.1636057890567811
14976,False,0.1821302250507941,0.1561472609095524
14994,True,0.1723802751395585,0.1639159820752181
15192,False,0.179957059571028,0.1469827653378656
15210,True,0.1796629065839453,0.1648603016801672
15408,False,0.1792052041797909,0.1500793952104105
15426,True,0.1785041188505342,0.1615891329502096
15624,False,0.1757839731790536,0.1637957742836786
15642,True,0.1782741422910372,0.1656791324586242
15840,False,0.1739409827827777,0.1668574876230606
15858,True,0.1719056478423758,0.1527918977777878
16056,False,0.1767371673989516,0.1557955696032446
16074,True,0.1727669278880906,0.1422068178490609
16272,False,0.1742946264334304,0.1511607451446161
16290,True,0.1634398087970584,0.1408965930831073
16488,False,0.1774642963739615,0.1490349810153479
16506,True,0.1692394986251073,0.1607522498288832
16704,False,0.1750414148279342,0.1605987081528433
16722,True,0.1809143660132265,0.1612196542982901
16920,False,0.1648198695196024,0.1636420638132404
16938,True,0.1795630282993522,0.1729414456238675
17136,False,0.1711011883936558,0.162720196711583
17154,True,0.1711529303252722,0.1595302019651793
17352,False,0.183675133988333,0.1574177161145107
17370,True,0.1694204018649631,0.1583914299143789
17568,False,0.1758346145822601,0.1556316472856279
17586,True,0.1786376063418302,0.1595423237296862
17784,False,0.1764434525713552,0.1781381732593362
17802,True,0.1727017326918646,0.1756587870457756
18000,False,0.1720043858576475,0.1574112623729216
18018,True,0.1709933108140479,0.1458263249141992
18216,False,0.1894157266109074,0.1576368299200848
18234,True,0.1684915705696891,0.1605853809734738
18432,False,0.168132510578084,0.1665454591358889
18450,True,0.1683038063782979,0.1743693572753473
18648,False,0.1699017363441677,0.1587239018008955
18666,True,0.1611042010387052,0.1530546478902129
18864,False,0.1758087757317356,0.1614732241234769
18882,True,0.16923964262163,0.1527677440016735
19080,False,0.1785604803383362,0.1586222605425702
19098,True,0.1646490134056376,0.142411727464607
19296,False,0.1723889498938582,0.1530137542537021
19314,True,0.173234848045949,0.1612670933308487
19512,False,0.1807064737600509,0.1653902036206463
19530,True,0.1728705280790748,0.1692960107229629
19728,False,0.1806611780696403,0.1712291495624071
19746,True,0.1795516507253774,0.1587614218839322
19944,False,0.1718179293883264,0.1402977648449794
19962,True,0.173489357772621,0.1595463900380906
20160,False,0.1770653005002831,0.1693482779501817
20178,True,0.1750905987829113,0.176827940128863
20376,False,0.1627968819886909,0.1568274250702434
20394,True,0.1687419312098637,0.1609548943622903
20592,False,0.1759028504021962,0.1456621706678337
20610,True,0.1709680729800578,0.1536657494399803
20808,False,0.1737127311655777,0.1560600843264686
20826,True,0.1776469679376413,0.1618185169289538
21024,False,0.1750744283110946,0.1518393099556177
21042,True,0.1604344476293223,0.145969335389743
21240,False,0.1786778558719295,0.154407323307936
21258,True,0.1709045519962151,0.1633472886525972
21456,False,0.1584811402217039,0.1590399955553392
21474,True,0.1652343330181481,0.1526602744164956
21672,False,0.1724290717150295,0.1666860338867786
21690,True,0.1619333893786274,0.1450251417534226
21888,False,0.1719091940258028,0.1643629998402447
21906,True,0.1786491889185185,0.1605709070678776
22104,False,0.1785775903694606,0.1620311283433386
22122,True,0.1812391600454485,0.1604713994521979
22320,False,0.1723377763455204,0.1626672949055547
22338,True,0.1707324371828549,0.1640084022916141
22536,False,0.188429817697034,0.1740715390892973
22554,True,0.1746721697783646,0.1562470786328597
22752,False,0.1717535924372862,0.1765878068297156
22770,True,0.1757972686374458,0.1660017184974361
22968,False,0.1825918892556418,0.1621372837673497
22986,True,0.1724784511655001,0.1588629181574046
23184,False,0.1657895081501001,0.1513534900744962
23202,True,0.17767700417192,0.1649626868731873
23400,False,0.1734430682696225,0.1571168833084178
23418,True,0.1848566153915678,0.1704253349891613
23616,False,0.1723140420115538,0.1650922109415091
23634,True,0.175892807233695,0.1554538938486482
23832,False,0.1749627841547319,0.1650755094085076
23850,True,0.1755831458164195,0.170212683422371
24048,False,0.1844726833594593,0.1624420176805601
24066,True,0.1721307343896879,0.160854358842007
24264,False,0.1715370262044923,0.1601679424992307
24282,True,0.1716487866178338,0.1460929610613791
24480,False,0.1760153954271295,0.1661675867237567
24498,True,0.1630827288286936,0.1540019149502132
24696,False,0.1759088365571939,0.1626322489862936
24714,True,0.1662428360485746,0.1526626691880609
24912,False,0.1652374941189213,0.1522067508910661
24930,True,0.1744904812245452,0.1564055488246127
25128,False,0.1822222211714234,0.1770528657409474
25146,True,0.181944358451735,0.1671740235505815
25344,False,0.1701194223546745,0.1586093521832642
25362,True,0.1705666388438183,0.1536656300084248
25560,False,0.1734776181735613,0.1559632718792033
25578,True,0.1843440778745286,0.1539381633209647
25776,False,0.1781075368703845,0.1598625786670952
25794,True,0.180400747847288,0.1467552900183937
25992,False,0.1729231758196337,0.1515022875460921
26010,True,0.1850324208027256,0.1731259385440991
26208,False,0.172354623829033,0.1481554832335788
26226,True,0.1839483523153425,0.1623176351974811
26424,False,0.1649464893802241,0.1631661265596269
26442,True,0.1742014290475209,0.1645242199229754
26640,False,0.1807047087544717,0.1605222381806323
26658,True,0.169989545933775,0.1453725221535359
26856,False,0.1722500655299513,0.1666132836956446
26874,True,0.1767203225946255,0.1528067782124275
27072,False,0.1718404227544898,0.1584649637414437
27090,True,0.1791765270812228,0.1602982086759114
27288,False,0.1769281932691016,0.1664593839347244
27306,True,0.1850825501966516,0.161289332355927
27504,False,0.1796755693032759,0.1523187370774944
27522,True,0.1800101609812039,0.1639459206374773
27720,False,0.1737114663516141,0.1555789329549218
27738,True,0.1750457181897051,0.1606881490948973
27936,False,0.167081831060657,0.1624169224293868
27954,True,0.1801109863876378,0.1620080887898327
28152,False,0.1749168565752152,0.1522538659818809
28170,True,0.1734229871199414,0.1754211044721583
28368,False,0.1696191464987232,0.1451271831801665
28386,True,0.1759834818363292,0.1660982465237422
28584,False,0.1768571226567382,0.1658429409901812
28602,True,0.1768192291274477,0.1688108397201838
28800,False,0.1820222047589671,0.1594925551929977
28818,True,0.1735864536908464,0.1753243157621304
29016,False,0.1786605091454562,0.1449026650041932
29034,True,0.1705546214758912,0.1490568399470867
29232,False,0.1704885045341544,0.1570648555752855
29250,True,0.1739903691907332,0.1563185441409307
29448,False,0.1743483987980025,0.1550972845172685
29466,True,0.1682949059931453,0.1541821162353207
29664,False,0.1784151530063435,0.1634053354436245
29682,True,0.1687304031442081,0.1608545541086655
29880,False,0.1779625212172058,0.1653720079979287
29898,True,0.1750719753344639,0.1582317410125887
30096,False,0.1736975583675421,0.1756897903760584
30114,True,0.180522327809447,0.1654748764465251
30312,False,0.1767528346777333,0.1562077662406048
30330,True,0.1784133255453887,0.1628052528214731
30528,False,0.1778626165132589,0.1598952237690701
30546,True,0.1675273476087018,0.1585928307886817
30744,False,0.1839434515238901,0.1612898677321949
30762,True,0.1843968954789718,0.1786393109385235
30960,False,0.1715210840568039,0.1673663726807097
30978,True,0.1774524122742271,0.1583979327623716
31176,False,0.1749529503706257,0.1663097041040161
31194,True,0.1785372801335036,0.1497956127338537
31392,False,0.1782414605166727,0.1667710412507021
31410,True,0.1738499628635777,0.1574926798107766
31608,False,0.1720741716652523,0.1645379162096023
31626,True,0.1752584978720937,0.157223128997035
31824,False,0.1737815836229894,0.1500511654393558
31842,True,0.1763947932651011,0.1663311587895786
32040,False,0.1827890008719623,0.1583800110143642
32058,True,0.1722451255062032,0.1468337521756801
32256,False,0.1784494503270178,0.1664882245829207
32274,True,0.1825380314017458,0.1711659337679713
32472,False,0.1747137209319408,0.152519058666628
32490,True,0.1832527246894102,0.1530114344152828
32688,False,0.176815917012897,0.1775305837666473
32706,True,0.1598619076915754,0.1678109019192059
32904,False,0.1712978331704834,0.1600052497077811
32922,True,0.1776112641655865,0.157905424988583
33120,False,0.1697916418933468,0.1504434840720957
33138,True,0.1789489421968962,0.1514244767121371
33336,False,0.1641829944960403,0.147169868204733
33354,True,0.1729944578829253,0.1588274267949901
33552,False,0.159944443085042,0.156266905603229
33570,True,0.1667301776322841,0.1521807136279949
33768,False,0.1780778817441186,0.1593218132845097
33786,True,0.1731926489919101,0.1576511625675807
33984,False,0.1662622490310801,0.1521214852244943
34002,True,0.1744392339738997,0.1564173743697641
34200,False,0.1751483664462485,0.1639444959015031
34218,True,0.1690539828187799,0.1620577258233935
34416,False,0.1792446288634741,0.1623375246413542
34434,True,0.1700452226821469,0.1570185851570129
34632,False,0.1783815779121762,0.173125414993523
34650,True,0.1765097928798431,0.1664826497832943
34848,False,0.1743188538646017,0.1581148703718497
34866,True,0.1806621280295273,0.1639848292218639
35064,False,0.1758470190493343,0.155824719096198
35082,True,0.1774318316972373,0.163534623387536
35280,False,0.1721370162710329,0.1617189245528728
35298,True,0.1829536940046986,0.1645450145985533
35496,False,0.1823200493596289,0.1467897348621691
35514,True,0.1826528487055958,0.1613982208336769
35712,False,0.1673977817048962,0.1508444785552129
35730,True,0.1637829618859709,0.1666218427847483
35928,False,0.1757787974437012,0.1526842160123711
35946,True,0.1671849578745086,0.1417039021907544
36144,False,0.1776799870297648,0.1541711807139776
36162,True,0.1678784989392686,0.1615594809465166
36360,False,0.1772103925593919,0.1568920529880234
36378,True,0.1841694862746097,0.1587298746554762
36576,False,0.1731025642369724,0.1605122320751574
36594,True,0.1771608458351291,0.1621625485763412
36792,False,0.1747485429211329,0.1570252032208718
36810,True,0.1694385100847273,0.1581032075811194
37008,False,0.1687719808404765,0.1527577601712141
37026,True,0.1783761696232505,0.1663252767251586
37224,False,0.1833576804874729,0.1630242935933165
37242,True,0.1753263838134881,0.151583142778953
37440,False,0.1776020127701715,0.1648810982037649
37458,True,0.1725785967835214,0.1772533645108694
37656,False,0.1842039175966895,0.1538173942305363
37674,True,0.1815798556986664,0.1561243171992352
37872,False,0.1777237664761941,0.163445854920358
37890,True,0.1870086780341601,0.1515133819914033
38088,False,0.1730215982516521,0.1701554820480139
