,useMalOp,useMalRep,operatingError,reportingError
72,False,False,0.1703187350574493,0.1546799848710109
288,True,False,0.1477692935785899,0.1339308423560414
504,False,True,0.1660028531758785,0.1595209002446261
720,True,True,0.1746183212331029,0.1604964901897536
936,False,False,0.1812074765368361,0.1552296861134344
1152,True,False,0.1372950305816939,0.1284636134308469
1368,False,True,0.1658785280558061,0.1416406413488554
1584,True,True,0.1767123551467045,0.1607639815950328
1800,False,False,0.1686970391648152,0.1538587723897637
2016,True,False,0.1251951355428939,0.1263246156559834
2232,False,True,0.1635634275908498,0.1494020687168374
2448,True,True,0.1644324588243341,0.1476194690039195
2664,False,False,0.1733204255365829,0.161072312047298
2880,True,False,0.1382225734214874,0.1070320584915228
3096,False,True,0.17465049879601,0.1542325506413797
3312,True,True,0.1706489680156181,0.1696388741433508
3528,False,False,0.1862244138197488,0.1584185759351394
3744,True,False,0.1341209170744929,0.1211689332768683
3960,False,True,0.1734899050478475,0.144809764178709
4176,True,True,0.1785009816892583,0.169853854645143
4392,False,False,0.1697922084567826,0.1662634502484853
4608,True,False,0.1392427484071049,0.1351971778275571
4824,False,True,0.1781268968230386,0.1728084722266164
5040,True,True,0.1838978589112572,0.1536331222646129
5256,False,False,0.1784030303913243,0.1522831000630421
5472,True,False,0.1380383479903288,0.1221693716562868
5688,False,True,0.176401142998045,0.1618859059508692
5904,True,True,0.1758922455278661,0.1537809489215389
6120,False,False,0.1700271357752245,0.1566943162733641
6336,True,False,0.1296445388006818,0.1300576269774878
6552,False,True,0.1675554392249714,0.1502361109403866
6768,True,True,0.172950489581412,0.1660850617253439
6984,False,False,0.191275001288442,0.173579791112585
7200,True,False,0.1403687078592991,0.1198090349631268
7416,False,True,0.170360179621336,0.1463090479742897
7632,True,True,0.1772584710648989,0.1656552923842403
7848,False,False,0.1719504556196516,0.1625026653008617
8064,True,False,0.1418568682647501,0.144209073996137
8280,False,True,0.1730121471600166,0.1594707687678697
8496,True,True,0.1703869665210851,0.1566473375929618
8712,False,False,0.1710078158451042,0.15413250031526
8928,True,False,0.1369743806660827,0.1202215851631209
9144,False,True,0.1716861659002758,0.1674077772435354
9360,True,True,0.1662422287386893,0.1566511968093636
9576,False,False,0.1730408527917557,0.1590745157887234
9792,True,False,0.134666972193802,0.118554389702522
10008,False,True,0.1743710939768291,0.1724570848033261
10224,True,True,0.176134206153058,0.1640573330979403
10440,False,False,0.1793699549075301,0.1511702589123855
10656,True,False,0.1358588795462615,0.1238870135372113
10872,False,True,0.1661279817907797,0.1499865796543435
11088,True,True,0.1790741649780543,0.1526666213110704
11304,False,False,0.1750104712759193,0.1539087796527816
11520,True,False,0.1417341170918609,0.1200832432531689
11736,False,True,0.1786239603257863,0.1559974639594636
11952,True,True,0.1784598305754421,0.1602969364018985
12168,False,False,0.1786979209342867,0.1591476966166466
12384,True,False,0.1423326103127517,0.1180932697691536
12600,False,True,0.1781137058636017,0.1698594471544383
12816,True,True,0.1774890610297042,0.1613240483523864
13032,False,False,0.1719344061634804,0.1643532686604555
13248,True,False,0.1403627207474977,0.1140071213894202
13464,False,True,0.1863425121350301,0.1609793692114458
13680,True,True,0.181610004973723,0.1597822127962838
13896,False,False,0.1737171550137083,0.1664276494132409
14112,True,False,0.1315981327695415,0.111689297172929
14328,False,True,0.1733858619743333,0.161231313216753
14544,True,True,0.1691175611191925,0.1502423157255202
14760,False,False,0.1840017889176344,0.1677458077041491
14976,True,False,0.1249713289466416,0.1069357107950065
15192,False,True,0.1853403753967944,0.1690565212888868
15408,True,True,0.1683317760691914,0.1475071926520774
15624,False,False,0.1766532959680707,0.1510586688966722
15840,True,False,0.1306882018443588,0.1262733443205107
16056,False,True,0.1789703197791074,0.1654903493468999
16272,True,True,0.1731003723662045,0.1616092478121581
16488,False,False,0.169024819423603,0.1606636875700926
16704,True,False,0.1279175668873422,0.1069600532973172
16920,False,True,0.1764286256345453,0.1623531480304172
17136,True,True,0.1735721133865415,0.171333555178007
17352,False,False,0.1773717355500896,0.1765794320343091
17568,True,False,0.1320114075349715,0.1095434224239323
17784,False,True,0.1745030170169326,0.1630049485695267
18000,True,True,0.1772659406239539,0.1585481970466228
18216,False,False,0.1847268135287982,0.167127011340591
18432,True,False,0.1309919995999921,0.1148296811668864
18648,False,True,0.1772395239122624,0.1606056781851722
18864,True,True,0.1808627716146542,0.1660211360525845
19080,False,False,0.176341879051876,0.1541532052877757
19296,True,False,0.1249052505241653,0.1131847182707861
19512,False,True,0.1757379981551425,0.1506015361759979
