,broadcastNoise,witnessNoise,operatingError,reportingError
56880,0.9,0.9,0.2438775779096108,0.2136533970100307
57096,0.5,0.5,0.4901201647413278,0.4187424814595401
57312,0.9,0.5,0.4987074079807219,0.4133517153413905
57528,0.5,0.9,0.511334644621223,0.2222024463371738
57744,0.9,0.9,0.2373549813805781,0.215589884849559
57960,0.5,0.5,0.4953226072133966,0.409043933917132
58176,0.9,0.5,0.4995324655151757,0.4205579225003097
58392,0.5,0.9,0.5037550262113307,0.2137173073661878
58608,0.9,0.9,0.2330788935808542,0.205589565717911
58824,0.5,0.5,0.5171210171103158,0.4075782508077495
59040,0.9,0.5,0.4955533349220584,0.4177337777093942
59256,0.5,0.9,0.5043716028289618,0.2093849112576668
59472,0.9,0.9,0.2506450948953602,0.2152900943042497
59688,0.5,0.5,0.4855450920001235,0.4153600643898902
59904,0.9,0.5,0.4988911969046057,0.4201122426605859
60120,0.5,0.9,0.4879389805618805,0.2100083797932988
60336,0.9,0.9,0.2483479884452936,0.20129756094088
60552,0.5,0.5,0.4949365863181396,0.4129950271890237
60768,0.9,0.5,0.4994513244850501,0.42542876127395
60984,0.5,0.9,0.5105380466770462,0.2182123326286365
61200,0.9,0.9,0.2377315574632305,0.2156129924327515
61416,0.5,0.5,0.5003824974059187,0.4224091379846832
61632,0.9,0.5,0.4811356386655117,0.4016016630677161
61848,0.5,0.9,0.4868042129070856,0.2208054566887246
62064,0.9,0.9,0.2402200358474589,0.2047636039494866
62280,0.5,0.5,0.4925551219319062,0.4241393662560759
62496,0.9,0.5,0.4966203220664497,0.4168088250518387
62712,0.5,0.9,0.4850161597549086,0.2311219910560205
62928,0.9,0.9,0.2291065419730569,0.2101057885636233
63144,0.5,0.5,0.4930474640564863,0.4156560393149947
63360,0.9,0.5,0.5010652706387796,0.4061680608520236
63576,0.5,0.9,0.4850711954262662,0.2271595452741178
63792,0.9,0.9,0.2456913082020076,0.2295610199879617
64008,0.5,0.5,0.5009457197260714,0.4123531730721382
64224,0.9,0.5,0.4894052020399308,0.4251722515601359
64440,0.5,0.9,0.500011402383957,0.2204958445443424
64656,0.9,0.9,0.2447857420062927,0.2142109442499573
64872,0.5,0.5,0.486763295072174,0.4080353295110678
65088,0.9,0.5,0.4952843378923276,0.4174487013752074
65304,0.5,0.9,0.4904419807590708,0.2206974316506174
65520,0.9,0.9,0.2344303993181975,0.2117510938679238
65736,0.5,0.5,0.4966860794780639,0.4230243024091022
65952,0.9,0.5,0.4828865755751531,0.4101820039512531
66168,0.5,0.9,0.490743193120927,0.2317221595403867
66384,0.9,0.9,0.2361748804787083,0.2112077528791505
66600,0.5,0.5,0.4963068889115878,0.4184522610838319
66816,0.9,0.5,0.4821033141551458,0.4150082863279012
67032,0.5,0.9,0.5032032383858197,0.208463788636217
67248,0.9,0.9,0.244625892531426,0.1917460884079329
67464,0.5,0.5,0.4925222062981261,0.4222863032516635
67680,0.9,0.5,0.4941092573955357,0.4171452172855961
67896,0.5,0.9,0.4774176068455945,0.2213509199817571
68112,0.9,0.9,0.2332635882052703,0.2080223245544139
68328,0.5,0.5,0.5082598070616475,0.4137258154993961
68544,0.9,0.5,0.5000422532092973,0.4251923076774809
68760,0.5,0.9,0.4738490667621504,0.2029494801183627
68976,0.9,0.9,0.2397083863964416,0.2234342068475798
69192,0.5,0.5,0.5082921377260583,0.4125448593626037
69408,0.9,0.5,0.493538548702998,0.4113440681831886
69624,0.5,0.9,0.488100145344841,0.2084419302879972
69840,0.9,0.9,0.2421862808210713,0.2020803451300604
70056,0.5,0.5,0.4968933977589838,0.4246183953696926
70272,0.9,0.5,0.4948527453555843,0.4265911354047035
70488,0.5,0.9,0.4953692527975861,0.2147214861815249
70704,0.9,0.9,0.239327233286659,0.2110918007231126
70920,0.5,0.5,0.4841470724028886,0.4150921009738044
71136,0.9,0.5,0.4981643524795061,0.4163029691368583
71352,0.5,0.9,0.5066193494940011,0.2014378744798651
71568,0.9,0.9,0.2483933852843562,0.229196955780985
71784,0.5,0.5,0.4851648982575423,0.4172937940051373
72000,0.9,0.5,0.493031762560867,0.4201076353606768
72216,0.5,0.9,0.5043720462952636,0.2045116731213732
72432,0.9,0.9,0.2490041092517124,0.2233912666846231
72648,0.5,0.5,0.4943499164962928,0.4096762836256934
72864,0.9,0.5,0.4975567837239064,0.4053536036733788
73080,0.5,0.9,0.5058634779004952,0.2018227697398607
73296,0.9,0.9,0.2516130228219774,0.2164411944589253
73512,0.5,0.5,0.493681232828937,0.4200597445599093
73728,0.9,0.5,0.5041100132920563,0.4141560739976553
73944,0.5,0.9,0.4896161573903304,0.214805313336625
74160,0.9,0.9,0.2399941862906575,0.2055262354858703
74376,0.5,0.5,0.4898407407517564,0.4126753560239475
74592,0.9,0.5,0.4986092288973182,0.4147350221561456
74808,0.5,0.9,0.4827573251162515,0.2115770921329542
75024,0.9,0.9,0.243939508821759,0.20994840061957
75240,0.5,0.5,0.497423386414409,0.4283614962740387
75456,0.9,0.5,0.490223555864625,0.4176276828164051
75672,0.5,0.9,0.4842583315219396,0.2167070372806289
75888,0.9,0.9,0.2347446784205763,0.2051604395826153
76104,0.5,0.5,0.4873912041545186,0.4160165968304036
76320,0.9,0.5,0.4972830997784424,0.4197119516211625
76536,0.5,0.9,0.5010188434546506,0.2184150947546089
76752,0.9,0.9,0.2387906285357074,0.2106019372000162
76968,0.5,0.5,0.5022311251043021,0.4001250392651431
77184,0.9,0.5,0.4754963214936563,0.4093798245917244
77400,0.5,0.9,0.4943179621179968,0.2223213182936247
77616,0.9,0.9,0.2410085920448579,0.2253994220750107
77832,0.5,0.5,0.4922703837591921,0.4111946545734332
78048,0.9,0.5,0.4794129185698597,0.4157850028154287
78264,0.5,0.9,0.5005920971547093,0.2423014353760867
78480,0.9,0.9,0.2405741221125589,0.2004226982147575
78696,0.5,0.5,0.5047910988994968,0.4158106448982359
78912,0.9,0.5,0.5015711380299347,0.4056817876147478
79128,0.5,0.9,0.5044515298383497,0.2181338081533034
79344,0.9,0.9,0.2479515183818693,0.2122330062304366
79560,0.5,0.5,0.4943886971149179,0.4100742113390414
79776,0.9,0.5,0.4990158572656176,0.4157998851706374
79992,0.5,0.9,0.4896135616652591,0.1986814104017817
80208,0.9,0.9,0.2468572903203759,0.2172194142803798
80424,0.5,0.5,0.4857506531461227,0.4116122785928096
80640,0.9,0.5,0.4991555385725407,0.4166139298707961
80856,0.5,0.9,0.4888132209720875,0.2114065982454256
81072,0.9,0.9,0.2348350703138676,0.2211380328984699
81288,0.5,0.5,0.5024203017299653,0.4190085971986324
81504,0.9,0.5,0.4909839484419014,0.4165606837224477
81720,0.5,0.9,0.5032173296382559,0.2139424185224007
81936,0.9,0.9,0.2521664862674163,0.2166381449168999
82152,0.5,0.5,0.5020199666730719,0.4178817710329962
82368,0.9,0.5,0.4993072711500534,0.4195417520614813
82584,0.5,0.9,0.4986381307751651,0.2184422211758502
82800,0.9,0.9,0.2379327269817566,0.2155495444249911
83016,0.5,0.5,0.5039532442195988,0.4228904541702794
83232,0.9,0.5,0.5031821055028197,0.4194549569940832
83448,0.5,0.9,0.5068463671931702,0.1979075154372605
83664,0.9,0.9,0.2498863657840719,0.2198723823738951
83880,0.5,0.5,0.4960398475560649,0.4137471965962097
84096,0.9,0.5,0.4907025466336667,0.4177252911660579
84312,0.5,0.9,0.4937979109654452,0.1999242638234136
84528,0.9,0.9,0.2581327660386467,0.2176439929630172
84744,0.5,0.5,0.4908433896285692,0.4181303315673323
84960,0.9,0.5,0.5082805426445887,0.4273854197145597
85176,0.5,0.9,0.4774927934685031,0.2075053503990076
85392,0.9,0.9,0.2397960914441368,0.2146442216412298
85608,0.5,0.5,0.5032865073046142,0.4118672649776586
85824,0.9,0.5,0.504090862270928,0.4264079674054056
86040,0.5,0.9,0.4958802216214857,0.206431606587002
86256,0.9,0.9,0.2440793943757743,0.215628480638889
86472,0.5,0.5,0.4863512755622756,0.4091350386854079
86688,0.9,0.5,0.4882957650829715,0.4215022816056761
86904,0.5,0.9,0.4970079240008538,0.2102084959901228
87120,0.9,0.9,0.2391993476649616,0.222466881030306
87336,0.5,0.5,0.4879169442798293,0.408908891748634
87552,0.9,0.5,0.4970757516985676,0.4311577834244876
87768,0.5,0.9,0.4833518728807432,0.2037213927005087
87984,0.9,0.9,0.2489803769117595,0.2278693723349313
88200,0.5,0.5,0.5036027758772516,0.4168006641646036
88416,0.9,0.5,0.4864686277828667,0.4195207927408215
88632,0.5,0.9,0.5057741211297255,0.2146845585372082
88848,0.9,0.9,0.2346799404086261,0.19902209306802
89064,0.5,0.5,0.4967575763164178,0.4263194142941285
89280,0.9,0.5,0.4944301988693836,0.4169297512891756
89496,0.5,0.9,0.5020729477607313,0.2049121132610872
89712,0.9,0.9,0.2375958842751465,0.210291632610382
89928,0.5,0.5,0.4864546699558635,0.4153401318036776
90144,0.9,0.5,0.5034638875728542,0.4141364950680881
90360,0.5,0.9,0.507997819507966,0.1981098303807707
90576,0.9,0.9,0.2420968054324399,0.209633686282172
90792,0.5,0.5,0.5031307431500995,0.4216584958016782
91008,0.9,0.5,0.4847600829540663,0.414377037115245
91224,0.5,0.9,0.4937796701994606,0.2172735217676194
91440,0.9,0.9,0.2414515076379852,0.2223813621306269
91656,0.5,0.5,0.5040347748521831,0.4206082807915393
91872,0.9,0.5,0.4916675077256896,0.4130693865181545
92088,0.5,0.9,0.4982871843980211,0.2025401830134099
92304,0.9,0.9,0.2419951831945966,0.2115220331780388
92520,0.5,0.5,0.4832315108637216,0.4211029128631889
92736,0.9,0.5,0.4895726320516714,0.4089607228543092
92952,0.5,0.9,0.4917149998488497,0.202410211377897
93168,0.9,0.9,0.2396995519276863,0.2123331888374364
93384,0.5,0.5,0.4984358765434221,0.4092735423043681
93600,0.9,0.5,0.5003588001143467,0.4175059624879889
93816,0.5,0.9,0.4945811428674488,0.2063801602728713
94032,0.9,0.9,0.2495035021255376,0.2197534796374925
94248,0.5,0.5,0.4924176943256466,0.404705486617455
94464,0.9,0.5,0.5037569477917248,0.4186580700781653
94680,0.5,0.9,0.5066764896645433,0.2163025491997101
94896,0.9,0.9,0.2465128158187627,0.2108232903525919
95112,0.5,0.5,0.5022351593590603,0.4208686113555225
95328,0.9,0.5,0.4946156979654983,0.4230721565473881
95544,0.5,0.9,0.4919091966290487,0.2052702279364905
95760,0.9,0.9,0.241649562876517,0.2128190239567983
95976,0.5,0.5,0.4912603273046104,0.419042897710169
96192,0.9,0.5,0.4836294802384859,0.4135624552084856
96408,0.5,0.9,0.5110974498706546,0.2087215151976306
96624,0.9,0.9,0.2479571108721385,0.2200832587932207
96840,0.5,0.5,0.4928502258713063,0.4242820945949974
97056,0.9,0.5,0.4926834880213686,0.4219412840725967
97272,0.5,0.9,0.5053822269191107,0.2216395725579363
97488,0.9,0.9,0.2433112211893084,0.2125527148796371
97704,0.5,0.5,0.493929389543821,0.415323574835613
97920,0.9,0.5,0.4907199117756724,0.4128544095433256
98136,0.5,0.9,0.4854132696778327,0.212307903453126
98352,0.9,0.9,0.2502936732114627,0.2171538232921703
98568,0.5,0.5,0.5049183598017511,0.4224678710606239
98784,0.9,0.5,0.5008687118096405,0.4132871502471126
99000,0.5,0.9,0.4788455139297495,0.2199374158391802
99216,0.9,0.9,0.2371455227459481,0.1942945027690701
99432,0.5,0.5,0.498196481827925,0.4180017316227573
99648,0.9,0.5,0.4959004976838621,0.4196125924703927
99864,0.5,0.9,0.5113520624680681,0.2149834512189296
100080,0.9,0.9,0.2395096397432392,0.2105393559760627
100296,0.5,0.5,0.4994413884040842,0.4346928359687272
100512,0.9,0.5,0.4992178647911439,0.4154614104514336
100728,0.5,0.9,0.4843051698463648,0.2200157075309318
100944,0.9,0.9,0.2470555410171969,0.2114203156993403
101160,0.5,0.5,0.49803287128238,0.4126550290485568
101376,0.9,0.5,0.4986598398029946,0.4122692691588077
101592,0.5,0.9,0.4812976324987478,0.2027951426605722
101808,0.9,0.9,0.2407502180627494,0.2097740695459168
102024,0.5,0.5,0.4881164333426595,0.4200011619295285
102240,0.9,0.5,0.4992185202344357,0.4193796196817102
102456,0.5,0.9,0.4877694266835796,0.2112745321069406
102672,0.9,0.9,0.2331772503492277,0.2059658103842886
102888,0.5,0.5,0.495346513313895,0.407656569830897
103104,0.9,0.5,0.4833054330462522,0.4081216381970421
103320,0.5,0.9,0.5016225620040818,0.2123718985740338
103536,0.9,0.9,0.2438426560242186,0.2214353472816209
103752,0.5,0.5,0.4869479099979237,0.4156460182842118
103968,0.9,0.5,0.5131832341047704,0.4101321717611419
104184,0.5,0.9,0.4996770549646026,0.1985497682431161
