,useQuartiles,operatingError,reportingError
72,False,0.1825009660108899,0.1578138974233959
180,True,0.1578947200661914,0.2996500140103698
288,False,0.178484763650866,0.1720845591866049
396,True,0.1568175356228941,0.2885174215404312
504,False,0.178677531030894,0.1519262048482489
612,True,0.1624531457999416,0.3375092559829141
720,False,0.1771968672677341,0.1464791508269823
828,True,0.1723690613075504,0.3551390894869836
936,False,0.1727623633893456,0.1569859990453692
1044,True,0.1638595290239928,0.4369852178762916
1152,False,0.1806202288510102,0.1547263204916492
1260,True,0.1621400399120306,0.3368328556862622
1368,False,0.1795940766393678,0.163394485482716
1476,True,0.1683866589326642,0.3813439090896958
1584,False,0.1794114546486462,0.1561355988854015
1692,True,0.1697172409765916,0.3089690118194652
1800,False,0.1637080889380585,0.1635935051514865
1908,True,0.1640529897125051,0.3801969823634528
2016,False,0.1813146170507531,0.1670905423174043
2124,True,0.1662176885889022,0.3544268334038108
2232,False,0.1778825013546298,0.1663237808548232
2340,True,0.1659923483696789,0.375450622814017
2448,False,0.1800289464758976,0.1613118151734415
2556,True,0.1544747342574475,0.3318809722916966
2664,False,0.1770627422271803,0.1624829870914456
2772,True,0.167399326384128,0.444751892789774
2880,False,0.168731501621773,0.1509445098265427
2988,True,0.15746598965593,0.3653665370039933
3096,False,0.1746346107093076,0.1638633355510476
3204,True,0.1595988422326712,0.3008339023879351
3312,False,0.1788517486318576,0.1580856790413146
3420,True,0.1754201398670946,0.4119332678211453
3528,False,0.1760658215555251,0.1596270636212924
3636,True,0.1616287143194162,0.3585775434465718
3744,False,0.1809205033341571,0.1522736269519397
3852,True,0.1631592359010007,0.3221035033135034
3960,False,0.1783759389142169,0.1548312423796651
4068,True,0.1519000106255247,0.3101550192208931
4176,False,0.1742492101326762,0.1708204690409827
4284,True,0.1603761430979891,0.3352591813007574
4392,False,0.1855739139613917,0.1621256632060315
4500,True,0.1627098045252024,0.3263291495385844
4608,False,0.1676169530436245,0.1567758621243251
4716,True,0.1699056000909273,0.387674193377342
4824,False,0.1682459335803142,0.1665966252003507
4932,True,0.1634680412618316,0.3440700613881952
5040,False,0.1730315412904388,0.1674470595277933
5148,True,0.1666089901795905,0.3565151304186723
5256,False,0.1794391705943894,0.1700426393047793
5364,True,0.1559752182695074,0.3116212921329864
5472,False,0.1699653568739633,0.1729738614177332
5580,True,0.1622731917810876,0.3727983455822579
5688,False,0.1784437769836949,0.1506372047630867
5796,True,0.1607299528996462,0.368926924103478
5904,False,0.1629659267707617,0.1564952733785954
6012,True,0.163742768126881,0.3635904136166559
6120,False,0.1741133586796233,0.1631356144776999
6228,True,0.1598381444925968,0.3340275814472886
6336,False,0.1723880447450704,0.1626647371262428
6444,True,0.157120659884858,0.4603356922402704
6552,False,0.1765979772243463,0.1699704023933619
6660,True,0.1624794153818989,0.3520946757321425
6768,False,0.1786399787605864,0.1624962005029674
6876,True,0.1671098710534721,0.3670129494512638
6984,False,0.1776593976582297,0.1626559009555895
7092,True,0.1615542661442471,0.3833143228491832
7200,False,0.1778319186642289,0.1604521955115547
7308,True,0.1637505646430601,0.3170338455043471
7416,False,0.1772858084949679,0.1642866523277877
7524,True,0.1604402104190411,0.3320313471747481
7632,False,0.1763320129928705,0.1601706518538082
7740,True,0.1666255666509307,0.3117184354151515
7848,False,0.1740633590302635,0.1570540109231659
7956,True,0.1545723168670694,0.3810317561165183
8064,False,0.1773791591427169,0.1605942865652856
8172,True,0.1645162865589085,0.3320434628793035
8280,False,0.1699369516057151,0.161660655969079
8388,True,0.1569876260015637,0.3553262463752766
8496,False,0.1796835315832788,0.162556162010519
8604,True,0.166846164451611,0.3379412222494506
8712,False,0.1757647875957703,0.1750170127124282
8820,True,0.1717176291851693,0.3547094215627303
8928,False,0.1809803352210582,0.1560177059918989
9036,True,0.1604152120894537,0.3209939070783819
9144,False,0.1804926711144191,0.1568868110352509
9252,True,0.1698717641546611,0.3403814307498913
9360,False,0.171312117549618,0.1534048458886248
9468,True,0.1571158192705884,0.4566592100738122
9576,False,0.1732880678157642,0.1728959062989959
9684,True,0.1600360391275685,0.3134139286225797
9792,False,0.1711216263006494,0.1574838711289878
9900,True,0.1589590230922877,0.3037153144216074
10008,False,0.1734133278538258,0.1754392446551362
10116,True,0.1689894380593148,0.3289354193806961
10224,False,0.1612275065684877,0.1511636690680609
10332,True,0.1566724333613773,0.3309878750345139
10440,False,0.1736692284196925,0.160458108799639
10548,True,0.1576972632600339,0.2865033845707315
10656,False,0.1703451919859783,0.1673550343724814
10764,True,0.1725019506289966,0.3842433384714384
10872,False,0.1847959256342345,0.1677292872836566
10980,True,0.1688214095937026,0.3721684841798241
11088,False,0.1747360505581175,0.1677812319317457
11196,True,0.1581126203405854,0.2921700310806192
11304,False,0.1794220146815625,0.1577625486109335
11412,True,0.1654347078404014,0.3358774824729462
11520,False,0.1823197797005732,0.1649296583193202
11628,True,0.1525707808620686,0.3512528480074821
11736,False,0.1728632670506828,0.1563143175031221
11844,True,0.1644546538650183,0.3106160504453427
11952,False,0.1799796210944573,0.1722417157642122
12060,True,0.1616326178047211,0.3229887031616216
12168,False,0.1690450053012934,0.1577046483900109
12276,True,0.1681415557268075,0.3150330178308198
12384,False,0.1646263649156304,0.1669065140771593
12492,True,0.1500788774211357,0.3323484541526552
12600,False,0.1724310811550091,0.1539290313692012
12708,True,0.1537710070061155,0.2953966730805565
12816,False,0.1828774109787636,0.173363163358796
12924,True,0.1606821545875079,0.3426459756845847
13032,False,0.1729217455799696,0.1536220680993257
13140,True,0.1579570319574854,0.4419102322623278
13248,False,0.1812340455801621,0.1624231930181385
