,numVehicles,minRecipients,maxRecipients,operatingError,reportingError
44784,300,1,10,0.1567838134098172,0.1277946773004631
45000,200,1,10,0.1712007639806328,0.1378123551143033
45216,300,1,10,0.1555720494380213,0.1287747044249161
45432,200,1,10,0.1621145335054592,0.1319319050561584
45648,300,1,10,0.1580740812253192,0.1306954042861004
45864,200,1,10,0.1679276183028647,0.1322952303432116
46080,300,1,10,0.1593539992628769,0.1318270092299308
46296,200,1,10,0.155458111482265,0.1274763745169058
46512,300,1,10,0.1562238034683024,0.1351288890060835
46728,200,1,10,0.1656297291783864,0.1333400001507722
46944,300,1,10,0.1589077754521191,0.1311454562278836
47160,200,1,10,0.1628058960228467,0.1332022758757152
47376,300,1,10,0.1585636308128566,0.1290993571489959
47592,200,1,10,0.1656973745105474,0.1389647664490796
47808,300,1,10,0.1546294109040689,0.1362057991160977
48024,200,1,10,0.1687060361313861,0.1341274614823361
48240,300,1,10,0.166323368584097,0.1356051002197532
48456,200,1,10,0.1684775118856296,0.1292886653930727
48672,300,1,10,0.1561839801814929,0.1368676760649832
48888,200,1,10,0.1653145221535602,0.1337807142444405
49104,300,1,10,0.1572763890875569,0.1250414003876953
49320,200,1,10,0.1617543579066598,0.1351482629904015
49536,300,1,10,0.1547985439595397,0.1295643286343772
49752,200,1,10,0.1703949542210429,0.132978431704515
49968,300,1,10,0.157774688310242,0.1327802039181509
50184,200,1,10,0.1718817820303692,0.1343918824790403
50400,300,1,10,0.1560188709113278,0.1284413890321573
50616,200,1,10,0.1688827615550829,0.1374196093714184
50832,300,1,10,0.1597825326672619,0.1350302545527913
51048,200,1,10,0.1744115967096911,0.1324234149406601
51264,300,1,10,0.15929539886237,0.1285421136366363
51480,200,1,10,0.1797269366058086,0.1394962505074369
51696,300,1,10,0.1576698465868586,0.1307103109684385
51912,200,1,10,0.1643397659560581,0.1338623334862295
52128,300,1,10,0.1583493424531405,0.1333219542875452
52344,200,1,10,0.1758946333088629,0.1366412874604312
52560,300,1,10,0.1581675358384721,0.1332270099789405
52776,200,1,10,0.1698065001679837,0.1292777538470502
52992,300,1,10,0.1632884786290441,0.1304060161139614
53208,200,1,10,0.1760908694008636,0.1263175486634075
53424,300,1,10,0.154031520586593,0.1301174578009317
53640,200,1,10,0.1740765041923699,0.1331631273184294
53856,300,1,10,0.1631518432202028,0.1336575848228609
54072,200,1,10,0.1671328103152076,0.1337715218979865
54288,300,1,10,0.1551593736159476,0.1317224076645395
54504,200,1,10,0.176434268893574,0.1381093166225122
54720,300,1,10,0.1541496963282324,0.1337217918783038
54936,200,1,10,0.1578082584892919,0.132363135258779
55152,300,1,10,0.155663928404668,0.1312790996011928
55368,200,1,10,0.1736593114060701,0.1335688603399353
55584,300,1,10,0.1629771710189759,0.1313783763701268
55800,200,1,10,0.166393211297529,0.1292631491574933
56016,300,1,10,0.1633603224562361,0.1350188618474014
56232,200,1,10,0.166012545389758,0.1335247702077922
56448,300,1,10,0.1611425014949846,0.1301382396215247
56664,200,1,10,0.1570128653478604,0.1282614752371084
56880,300,1,10,0.1572110340124413,0.1297872330298257
57096,200,1,10,0.1644299114256231,0.1335769076622608
57312,300,1,10,0.1515208562775625,0.126859082702743
57528,200,1,10,0.1767632221471216,0.1325971105641418
57744,300,1,10,0.1507829392911259,0.12478558677111
57960,200,1,10,0.1693457437752175,0.1326572862283192
58176,300,1,10,0.1656583242715171,0.1307571658811989
58392,200,1,10,0.1707480229703371,0.136138487092986
58608,300,1,10,0.1545611900744627,0.130301447843469
58824,200,1,10,0.1683107633438499,0.1364161219821869
59040,300,1,10,0.1611376290566836,0.1304709204216502
59256,200,1,10,0.1753103830564636,0.1372763068518543
59472,300,1,10,0.1487234104767594,0.1312816024494593
59688,200,1,10,0.1747670583993819,0.1338201705157958
59904,300,1,10,0.164311361259951,0.1325206263438079
60120,200,1,10,0.1613488043963955,0.1306653029560961
60336,300,1,10,0.1607911165293436,0.1293526691355936
60552,200,1,10,0.1680226840110412,0.1345592738120659
60768,300,1,10,0.1568333777602412,0.1314329810065881
60984,200,1,10,0.1705612947591661,0.1337898254739336
61200,300,1,10,0.1571282874560298,0.1298035658176114
61416,200,1,10,0.1766076293100954,0.1341574724610436
61632,300,1,10,0.1611420267507599,0.1336850286098931
61848,200,1,10,0.1746195399635378,0.1378650356717319
62064,300,1,10,0.1551707628769751,0.1300607993222102
62280,200,1,10,0.1720188884735497,0.1307216308517887
62496,300,1,10,0.1590128313496134,0.1371074149677505
62712,200,1,10,0.1617462202517554,0.1308913548560581
62928,300,1,10,0.1616211146169353,0.1339929162493351
63144,200,1,10,0.1711885384322129,0.1298196425028448
63360,300,1,10,0.1526817596941829,0.1343071169171098
63576,200,1,10,0.1637058982647865,0.1327433915667683
63792,300,1,10,0.1652768465150906,0.1353624129716903
64008,200,1,10,0.171574772393375,0.1276841353279325
64224,300,1,10,0.1584411824215886,0.1270781093822668
64440,200,1,10,0.1642260748725406,0.1246595227763875
64656,300,1,10,0.1673075019015667,0.1303650541443246
64872,200,1,10,0.1614211279450387,0.1303790702654844
65088,300,1,10,0.1625969186258825,0.1352881681067693
65304,200,1,10,0.1645605518482493,0.1342398864006673
65520,300,1,10,0.1528129408598323,0.1310033598818573
65736,200,1,10,0.168385020669187,0.1361786931359164
65952,300,1,10,0.1553106116981084,0.1314975811576654
66168,200,1,10,0.1704091051188102,0.1406278148653356
66384,300,1,10,0.1621494956804428,0.1337444410496948
66600,200,1,10,0.1589347930050227,0.1360827685729172
66816,300,1,10,0.1615183506977352,0.1332659492801362
67032,200,1,10,0.1603586340577964,0.1318077563872017
67248,300,1,10,0.1642600631399982,0.1339454223489298
67464,200,1,10,0.1711275865771982,0.1362749800820687
67680,300,1,10,0.1584610860837658,0.1323251010369165
67896,200,1,10,0.1652711147325168,0.1330164846255586
68112,300,1,10,0.1645103461664908,0.1384141822383232
68328,200,1,10,0.1765159860787934,0.1324237097249083
68544,300,1,10,0.1531890868698033,0.130543376426546
68760,200,1,10,0.1643320481903747,0.1351942093496275
68976,300,1,10,0.1573400142025998,0.130309189381566
69192,200,1,10,0.1748272064031248,0.1326193043229027
69408,300,1,10,0.1636474182255048,0.1358593370926911
69624,200,1,10,0.1668450382305736,0.1305138843799999
69840,300,1,10,0.1590088242378983,0.1330280845984659
70056,200,1,10,0.1700162665961432,0.13796746542145
70272,300,1,10,0.1534516930984406,0.1293709781488926
70488,200,1,10,0.1802345789115331,0.13203519354339
70704,300,1,10,0.1523492590929154,0.1285218197936333
70920,200,1,10,0.1756309118914844,0.1298265808452845
71136,300,1,10,0.162206829756613,0.1308980493032639
71352,200,1,10,0.1791517009255406,0.135850924376902
71568,300,1,10,0.1686152999732553,0.1349245870608508
71784,200,1,10,0.1636454624207481,0.1322181010527814
72000,300,1,10,0.1568716102697213,0.1292797883922118
72216,200,1,10,0.1659392069828638,0.1397896150948241
72432,300,1,10,0.1566144238846787,0.1265587596913107
72648,200,1,10,0.1711261791441286,0.1276943272430193
72864,300,1,10,0.1641373334334782,0.1267134878072223
73080,200,1,10,0.1655490075064879,0.1293535968457253
73296,300,1,10,0.1598965186086755,0.1317834018496388
73512,200,1,10,0.1675367786436322,0.1318656448421652
73728,300,1,10,0.1577286388464854,0.1274007873463612
73944,200,1,10,0.1649758970783765,0.1333354198764835
74160,300,1,10,0.1610537361145023,0.1306525461918153
74376,200,1,10,0.1664698325878485,0.1336302265034259
74592,300,1,10,0.1647384843174712,0.1340958733384036
74808,200,1,10,0.1692691190872846,0.131046944995946
75024,300,1,10,0.1626943512780344,0.1365204021520116
75240,200,1,10,0.1691202037826544,0.1337345342449708
75456,300,1,10,0.1560819876704532,0.1325250226947806
75672,200,1,10,0.1613133846440865,0.1346970720488572
75888,300,1,10,0.1643902206665326,0.131925020688033
76104,200,1,10,0.16441469429042,0.1296477271942618
76320,300,1,10,0.16113994644894,0.1341852384228784
76536,200,1,10,0.1698240463939751,0.1331198685757713
76752,300,1,10,0.1599692053262956,0.1301754567742349
76968,200,1,10,0.173552534956435,0.1335769362472063
77184,300,1,10,0.1600944058716111,0.1282037527427114
77400,200,1,10,0.1667474981192874,0.131149674521303
77616,300,1,10,0.1684699875677076,0.1341421028404606
77832,200,1,10,0.1668692818018171,0.1298732801432585
78048,300,1,10,0.1710706131937532,0.1322419081803947
78264,200,1,10,0.1702375087886468,0.1273650759136397
78480,300,1,10,0.1566062742575432,0.1274289005915219
78696,200,1,10,0.1699866229958583,0.1356487195292187
78912,300,1,10,0.1570055182808498,0.1294226617815554
79128,200,1,10,0.1743331224257131,0.1423331839543735
79344,300,1,10,0.1555987147747965,0.1352177342708442
79560,200,1,10,0.1641976164446428,0.1278590960932928
79776,300,1,10,0.1630183676071574,0.1331352778048312
79992,200,1,10,0.1659462662761063,0.1345577212721158
80208,300,1,10,0.1574158204032497,0.1293938841289885
80424,200,1,10,0.17719594051775,0.1358848665477733
80640,300,1,10,0.159177717138127,0.1304147635207033
80856,200,1,10,0.1692414791444459,0.1337874931726878
81072,300,1,10,0.1648903112169272,0.1319364223512113
81288,200,1,10,0.1777111964378411,0.1311218142980217
81504,300,1,10,0.1536509927169756,0.130808848529545
81720,200,1,10,0.182850465168388,0.135294999631726
81936,300,1,10,0.1519646572718947,0.1274032200715998
82152,200,1,10,0.1778938639175835,0.1298719239390329
82368,300,1,10,0.1576236907905012,0.1360597549370021
82584,200,1,10,0.1614452039846313,0.1340549803799283
82800,300,1,10,0.1578373159488953,0.1284458487881024
83016,200,1,10,0.1637519574277891,0.1307411296067873
83232,300,1,10,0.1618095352905438,0.1297408828553425
83448,200,1,10,0.1658777316376829,0.1331528059822587
83664,300,1,10,0.1551789272595416,0.1301662991196564
83880,200,1,10,0.155359343784875,0.1352250937358393
84096,300,1,10,0.1641854499669503,0.130458343200455
84312,200,1,10,0.1717187835975583,0.1360680202888959
84528,300,1,10,0.1574486426922383,0.1335700033357805
84744,200,1,10,0.1837942414012401,0.1412385469385952
84960,300,1,10,0.1632263382432464,0.1298109999440051
85176,200,1,10,0.1735232778309418,0.1394090520819213
85392,300,1,10,0.1552139792124242,0.1312783676107251
85608,200,1,10,0.1643950758339196,0.1268858489655641
85824,300,1,10,0.1621463099775597,0.1347270445824195
86040,200,1,10,0.1635756655019254,0.1338118470746321
86256,300,1,10,0.1633356155739996,0.130097265450344
86472,200,1,10,0.1656566890646462,0.1307893973656677
86688,300,1,10,0.1592687887160519,0.1358173625469016
86904,200,1,10,0.1682397307920319,0.1309447325646635
87120,300,1,10,0.1473621479886996,0.1306038167624186
87336,200,1,10,0.1557855280095382,0.1328029954966259
87552,300,1,10,0.1607297098849754,0.127866146473348
87768,200,1,10,0.1544203423721214,0.1324899962328512
87984,300,1,10,0.1629703854836354,0.133471058563441
88200,200,1,10,0.1604634297226472,0.1321269836901316
88416,300,1,10,0.1667584551793914,0.1339189694857958
88632,200,1,10,0.1695423584241598,0.1322546790968145
88848,300,1,10,0.153715543026027,0.1325836799899167
89064,200,1,10,0.1663206777909641,0.1330304035500986
89280,300,1,10,0.1638486472470605,0.1326286852838341
89496,200,1,10,0.1698009400928326,0.1313583574620004
89712,300,1,10,0.1542493608705619,0.1290663609752335
89928,200,1,10,0.1633630445945527,0.1275401288488686
90144,300,1,10,0.1608456828609282,0.1338971652091419
90360,200,1,10,0.1758374564931405,0.1401059386303761
90576,300,1,10,0.1521740183839432,0.1278820562634212
90792,200,1,10,0.1686040073767691,0.1254280287696843
91008,300,1,10,0.1573850836819469,0.1353009501063093
91224,200,1,10,0.1625736690793848,0.1300956206981357
91440,300,1,10,0.1580635034900858,0.1259693273460082
91656,200,1,10,0.1651294461911087,0.1304246275802101
91872,300,1,10,0.1611039781708068,0.1285930033341891
92088,200,1,10,0.1661431328130073,0.1336359698620688
92304,300,1,10,0.164204767441687,0.1266198342196456
92520,200,1,10,0.1640933278792156,0.1362192106401422
92736,300,1,10,0.1656317485141552,0.1324218917421516
92952,200,1,10,0.1661235773974543,0.1325476016515304
93168,300,1,10,0.1547495131971373,0.1265879904451552
93384,200,1,10,0.1615484148950877,0.1364492969595441
93600,300,1,10,0.1579565374185446,0.135426817789995
93816,200,1,10,0.1648129448022996,0.134485732516694
94032,300,1,10,0.1566579167240228,0.1343255077881822
94248,200,1,10,0.1632684863851194,0.1275014346035302
94464,300,1,10,0.1605799726575081,0.1302515978480352
94680,200,1,10,0.1660686033976524,0.1325903211897275
94896,300,1,10,0.1612248072783521,0.1317504463962705
95112,200,1,10,0.1732681604147573,0.1356363072757802
95328,300,1,10,0.1533991183027913,0.1311129136159964
95544,200,1,10,0.1640937996274476,0.1332205649878196
95760,300,1,10,0.1617199500969545,0.1332724020654129
95976,200,1,10,0.1713055366363988,0.1324994098105448
96192,300,1,10,0.1675487615894162,0.1326301053685266
96408,200,1,10,0.1647360793440195,0.1324131988616146
96624,300,1,10,0.157239315372278,0.1317005334162513
96840,200,1,10,0.1670595290205708,0.127715378470447
97056,300,1,10,0.1666919351723097,0.1286424179708318
97272,200,1,10,0.1674668624786714,0.1310450755078598
97488,300,1,10,0.1600068810316472,0.1344344733474513
97704,200,1,10,0.1736302523833561,0.1347428192965369
97920,300,1,10,0.1564805631089345,0.1332616972597822
98136,200,1,10,0.1579564717204194,0.1283798963881935
98352,300,1,10,0.1594463490216316,0.1303286939166169
98568,200,1,10,0.1658100593388154,0.1345267354475781
98784,300,1,10,0.1621657985073194,0.1318103017526531
99000,200,1,10,0.1690485888886931,0.1279320791025386
99216,300,1,10,0.1612349701198641,0.1255499172562989
99432,200,1,10,0.15512741124113,0.1265704411726324
99648,300,1,10,0.1600407198680675,0.1291376379947306
99864,200,1,10,0.1610938462437728,0.1285402527948781
100080,300,1,10,0.1558647474069572,0.1328138683299639
100296,200,1,10,0.1696443640791026,0.1389387690728971
100512,300,1,10,0.154334054502464,0.1307140214627449
100728,200,1,10,0.1684229012403241,0.1312826157854445
100944,300,1,10,0.1664272334677271,0.1320735702628747
101160,200,1,10,0.1662308028785545,0.1314546315662179
101376,300,1,10,0.1625573610267802,0.1353495231113396
101592,200,1,10,0.1727535072343032,0.1288092481010299
101808,300,1,10,0.151624477464873,0.128162929380077
102024,200,1,10,0.1709834103177772,0.1316669333816128
102240,300,1,10,0.1612733089188321,0.1310150188278509
102456,200,1,10,0.174979766396225,0.1380216996348383
102672,300,1,10,0.1566905490893877,0.1331213704770932
102888,200,1,10,0.1671717223466458,0.1285941215702545
103104,300,1,10,0.1685935301506795,0.1330725695922409
103320,200,1,10,0.1682992069470964,0.1309053227522364
103536,300,1,10,0.1647962775187308,0.1324021730237642
103752,200,1,10,0.1633654579675631,0.1325445530735187
103968,300,1,10,0.1584411938029465,0.1270375212910037
104184,200,1,10,0.1711813674025896,0.1345270887524794
104400,300,1,10,0.1550828922810301,0.1320364670976442
104616,200,1,10,0.1681176128292967,0.1369535279301462
104832,300,1,10,0.1564298522182099,0.1345133195621713
105048,200,1,10,0.1651837011944914,0.1353837013205364
105264,300,1,10,0.1564635690251441,0.1321141368937376
105480,200,1,10,0.1733584345594487,0.1366609694492192
105696,300,1,10,0.1655038313432724,0.1343877249220005
105912,200,1,10,0.163448682083087,0.1367497752446572
106128,300,1,10,0.1634136719398246,0.1366684103297716
106344,200,1,10,0.1660402265021022,0.1285964586849421
106560,300,1,10,0.1582429829178877,0.1320124912504074
106776,200,1,10,0.1590748327000694,0.1317524768390842
106992,300,1,10,0.1680302919148534,0.1321678796694763
107208,200,1,10,0.1675424255086645,0.134561119839273
107424,300,1,10,0.1607602203247245,0.1318147151568126
107640,200,1,10,0.161908436617611,0.1258239651121156
107856,300,1,10,0.1598853383113537,0.131231699391416
108072,200,1,10,0.1664567196497936,0.1354425509519014
108288,300,1,10,0.1598043256147408,0.1296662557784192
108504,200,1,10,0.1668342071485757,0.1325073859177338
108720,300,1,10,0.1611264804670064,0.1374480534255635
108936,200,1,10,0.1708859396997414,0.1369578909813793
109152,300,1,10,0.1613974225943929,0.1349528983642444
109368,200,1,10,0.1754359906401735,0.1299981609901411
109584,300,1,10,0.1614108216167171,0.1331231459383226
109800,200,1,10,0.1641135399166843,0.1332084190886271
110016,300,1,10,0.1566741954398879,0.1258849013000769
110232,200,1,10,0.1704199874187022,0.1408220475438542
110448,300,1,10,0.1666959139601027,0.1362689982261255
110664,200,1,10,0.1759698913286477,0.1330574151646778
110880,300,1,10,0.1631432541222829,0.1328130459818
111096,200,1,10,0.1633675001637811,0.1292355558073204
111312,300,1,10,0.1598798008536964,0.1319204817701438
111528,200,1,10,0.162134610754328,0.1323699364740738
111744,300,1,10,0.1539386553745822,0.1271128568092469
111960,200,1,10,0.1643666487745009,0.1271648471967616
